scene,degradation,channel,severity,frame,n_gt,tp,fp,fn,precision,recall,f1,mean_iou,depth_err_signed,depth_err_max,err3d,reliability,status,diagnosis1,diagnosis_all,latency_ms,monitor_ms,n_tracks,s_confidence,s_sharpness,s_exposure,s_clipping,s_noise,s_chroma,s_ood,s_temporal,s_motion,s_depth_valid,s_depth_consistency,s_geometry,s_timing,depth_err_corr,failure
multi,none,none,0.0,11,2,2,0,0,1.0,1.0,1.0,0.913572691526894,-1.2460309733515196,2.1420615652333126,1.250478716353887,0.9346788443494374,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),44.07028299999638,6.425445000047603,2,0.9542336928689465,1.0,0.9943142216263317,1.0,1.0,1.0,0.8648209046825233,0.8152116068723579,0.7080462481372014,0.9772727272727273,0.9887325853996777,0.9142950886115135,1.0,0.893329122792121,0
multi,none,none,0.0,12,2,2,0,0,1.0,1.0,1.0,0.9304927709401046,-1.2438257466191835,2.1376511117686405,1.2498060493294048,0.933858114028665,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),46.591944999988755,7.890993999978946,2,0.9542635792740755,1.0,0.9933429225243944,1.0,1.0,1.0,0.8367244482932941,0.8210586173346512,0.7267338483364335,1.0,0.9877491702044789,0.9019915420029969,1.0,0.895534349524457,0
multi,none,none,0.0,13,2,2,0,0,1.0,1.0,1.0,0.8119373307146411,-1.2432169706925116,2.1364335599152966,1.2554143227436518,0.9377829714950023,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),44.255006999947,6.187223999972957,2,0.9540330796856911,1.0,0.9960088661993043,1.0,1.0,1.0,0.863620571577709,0.8291809229003202,0.771871747743583,0.969327731092437,0.9867747141626393,0.8962267497491081,1.0,0.896143125451129,0
multi,none,none,0.0,14,1,1,0,0,1.0,1.0,1.0,0.8896911352085559,-2.1379129990287424,2.1379129990287424,2.1495226359654738,0.9103671926671446,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),42.194671999993716,6.209911999974338,1,0.9537015839319211,1.0,0.9993231679418946,1.0,1.0,0.9713591529950519,0.8774383444845747,0.7546871784303798,0.6570511714532814,1.0,0.9726738545502717,0.7910739815733857,1.0,0.0014470971148980993,0
multi,none,none,0.0,15,1,1,0,0,1.0,1.0,1.0,0.899274993846527,-2.138255658357039,2.138255658357039,2.1506422379978125,0.9070779182519936,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),41.78619499998604,6.190480999975989,1,0.9511065413486167,0.9904080534752324,0.998807452686751,1.0,1.0,0.9850433554298572,0.8896885765168517,0.7442008595102753,0.6541595973088355,1.0,0.9716153574264149,0.7703928236382341,1.0,0.0011044377866014088,0
multi,none,none,0.0,16,1,1,0,0,1.0,1.0,1.0,0.8958730585005164,-2.1374610610630214,2.1374610610630214,2.149508142798386,0.9109437345854856,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Geometric inconsistency (calibration or depth scale error) | Erratic object motion (large filter innovation),42.54426200003536,6.057403999989219,1,0.9505827415948349,1.0,0.9968209939261972,1.0,1.0,1.0,0.877772434527187,0.7375716023630804,0.6467171142794289,1.0,0.9697337351034728,0.8106291766945349,1.0,0.0018990350806191714,0
multi,none,none,0.0,17,1,1,0,0,1.0,1.0,1.0,0.8993422557506565,-2.1385490168695895,2.1385490168695895,2.150921281050911,0.9062762456800173,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Geometric inconsistency (calibration or depth scale error) | Erratic object motion (large filter innovation),42.22330699997201,5.9730689999923925,1,0.954184790692335,1.0,0.9942753130679876,1.0,1.0,1.0,0.8590780059282903,0.7327518420092382,0.6400602033582375,1.0,0.9678770129054551,0.7956257494914284,1.0,0.0008110792740509964,0
multi,none,none,0.0,18,2,2,0,0,1.0,1.0,1.0,0.8566706395149323,-1.2433755294136377,2.136750677357549,1.262023058650715,0.9095502462381838,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),43.453495000051134,6.135097000026235,2,0.9526435568145247,1.0,0.9889589891415058,1.0,1.0,1.0,0.8805827850150302,0.6226553476606638,0.7026634870402491,0.9583333333333333,0.982821544840411,0.9011581846915413,1.0,0.8959845667300028,0
multi,none,none,0.0,19,2,2,0,0,1.0,1.0,1.0,0.8209134127169431,-1.2431749260943867,2.136349470719047,1.2498930491281162,0.9014231511300242,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation) | Distribution shift (input unlike calibration set),43.48521200000732,6.093550999992203,2,0.951392769953983,1.0,0.9798547402031346,1.0,1.0,1.0,0.8330852161619919,0.6056561053436136,0.696545796744473,1.0,0.981842856571731,0.8753324934574404,1.0,0.8961851700492538,0
multi,none,none,0.0,20,3,3,0,0,1.0,1.0,1.0,0.8288399782796597,-1.1169463102368333,2.1355925435605254,1.1237619809144532,0.8787829613128861,TRUSTED,Unstable tracking / temporal disagreement,Unstable tracking / temporal disagreement | Distribution shift (input unlike calibration set) | Geometric inconsistency (calibration or depth scale error),45.13235099994972,6.326904999980343,3,0.9305295579505528,1.0,0.9725975866436116,1.0,1.0,1.0,0.7856166634386447,0.4723903044538871,0.7635400788052564,0.9989648033126294,0.9845102873980859,0.8746380858665123,1.0,1.0224137859068072,1
